PartitionKey,RowKey,Timestamp,Folder,Foldertype,Height,Heighttype,ImageTypeId,ImageTypeIdtype,Jpg,Jpgtype,Quality,Qualitytype,Webp,Webptype,Width,Widthtype
product,Product.700f700,2020-03-23T10:46:54.663Z,700f700,Edm.String,700,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,700,Edm.Int32
product,Product.85f85,2020-03-23T10:47:02.464Z,85f85,Edm.String,85,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,85,Edm.Int32
productcontainerproduct,ProductContainerProduct.40x40,2020-03-23T10:47:04.098Z,40x40,Edm.String,40,Edm.Int32,30,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,40,Edm.Int32
productguideiconforfile,ProductGuideIconForFile.30x30,2020-03-23T10:47:04.326Z,30x30,Edm.String,30,Edm.Int32,29,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,30,Edm.Int32
productguideiconforfile,ProductGuideIconForFile.60x60,2020-03-23T10:47:02.732Z,60x60,Edm.String,60,Edm.Int32,29,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,60,Edm.Int32
productguideiconforurl,ProductGuideIconForUrl.30x30,2020-03-23T10:47:04.536Z,30x30,Edm.String,30,Edm.Int32,28,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,30,Edm.Int32
productguideiconforurl,ProductGuideIconForUrl.60x60,2020-03-23T10:47:02.978Z,60x60,Edm.String,60,Edm.Int32,28,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,60,Edm.Int32
productguideimage,ProductContainerProduct.1028w,2020-03-23T10:46:52.171Z,1028w,Edm.String,0,Edm.Int32,27,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,1028,Edm.Int32
productguideimage,ProductGuideImage.1472c1006,2020-03-23T10:46:50.617Z,1472c1006,Edm.String,1006,Edm.Int32,27,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,1472,Edm.Int32
productguideimage,ProductGuideImage.267c182,2020-03-23T10:46:59.191Z,267c182,Edm.String,182,Edm.Int32,27,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,267,Edm.Int32
productguideimage,ProductGuideImage.366c250,2020-03-23T10:46:58.112Z,366c250,Edm.String,250,Edm.Int32,27,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,366,Edm.Int32
productguideimage,ProductGuideImage.460c314,2020-03-23T10:46:56.952Z,460c314,Edm.String,314,Edm.Int32,27,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,460,Edm.Int32
productguideimage,ProductGuideImage.534c364,2020-03-23T10:46:55.990Z,534c364,Edm.String,364,Edm.Int32,27,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,534,Edm.Int32
productguideimage,ProductGuideImage.732c500,2020-03-23T10:46:54.445Z,732c500,Edm.String,500,Edm.Int32,27,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,732,Edm.Int32
productguideimage,ProductGuideImage.736c503,2020-03-23T10:46:54.225Z,736c503,Edm.String,503,Edm.Int32,27,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,736,Edm.Int32
productguideimage,ProductGuideImage.920c628,2020-03-23T10:46:53.174Z,920c628,Edm.String,628,Edm.Int32,27,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,920,Edm.Int32
productpricecampaignbackground,ProductPriceCampaignBackground.1900x446,2020-11-05T10:18:57.443Z,1900x446,Edm.String,446,Edm.Int32,24,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,1900,Edm.Int32
